condition,condition_value,metric,reference,comparison,n_pairs,mean_diff,median_diff,statistic,p_value,reject_h0_holm_0.05,experiment,favors
train_fraction,0.5,policy_regret,neural_rep,s_learner,30,0.0044953592987887,0.0038206870507939503,6.0,2.60770320892334e-08,True,sample_size_synthetic,baseline
train_fraction,0.5,policy_regret,neural_rep,t_learner,30,-0.07723067227674427,-0.0777204133243202,0.0,1.862645149230957e-09,True,sample_size_synthetic,NeuralRep
train_fraction,0.5,policy_regret,neural_rep,x_learner,30,-0.005726412986854505,-0.0045520094769686,23.0,1.1920928955078125e-06,True,sample_size_synthetic,NeuralRep
train_fraction,0.75,policy_regret,neural_rep,s_learner,30,0.005420194975288193,0.0044942554077371496,1.0,3.725290298461914e-09,True,sample_size_synthetic,baseline
train_fraction,0.75,policy_regret,neural_rep,t_learner,30,-0.05875767687133073,-0.05850564175465335,0.0,1.862645149230957e-09,True,sample_size_synthetic,NeuralRep
train_fraction,0.75,policy_regret,neural_rep,x_learner,30,-0.0011144789162836333,-0.0022258135604416,128.0,0.03098480962216854,True,sample_size_synthetic,NeuralRep
train_fraction,1.0,policy_regret,neural_rep,s_learner,30,0.0034187890376213333,0.0027487081958524505,8.0,4.6566128730773926e-08,True,sample_size_synthetic,baseline
train_fraction,1.0,policy_regret,neural_rep,t_learner,30,-0.05123201040419568,-0.050872601405964404,0.0,1.862645149230957e-09,True,sample_size_synthetic,NeuralRep
train_fraction,1.0,policy_regret,neural_rep,x_learner,30,-0.0013318992214029568,-0.0013036965662028997,118.0,0.017453668639063835,True,sample_size_synthetic,NeuralRep
treated_fraction,0.5,pehe,neural_rep,s_learner,30,-0.05949205934342954,-0.0707196966451886,31.0,4.421919584274292e-06,True,treatment_imbalance,NeuralRep
treated_fraction,0.5,pehe,neural_rep,t_learner,30,-0.4169752155748086,-0.4122653534224508,0.0,1.862645149230957e-09,True,treatment_imbalance,NeuralRep
treated_fraction,0.5,pehe,neural_rep,x_learner,30,-0.008207034535386255,-0.018311973648763857,164.0,0.1641840822994709,False,treatment_imbalance,NeuralRep
treated_fraction,0.25,pehe,neural_rep,s_learner,30,-0.04526207934292596,-0.0366550566987891,73.0,0.0006084088236093521,True,treatment_imbalance,NeuralRep
treated_fraction,0.25,pehe,neural_rep,t_learner,30,-0.4340177070983259,-0.43472062235324177,0.0,1.862645149230957e-09,True,treatment_imbalance,NeuralRep
treated_fraction,0.25,pehe,neural_rep,x_learner,30,-0.007522033119287565,-0.003774923516230766,189.0,0.3817984350025654,False,treatment_imbalance,NeuralRep
treated_fraction,0.1,pehe,neural_rep,s_learner,30,-0.08650388111390783,-0.09387246992473619,30.0,3.7904828786849976e-06,True,treatment_imbalance,NeuralRep
treated_fraction,0.1,pehe,neural_rep,t_learner,30,-0.6410768092348004,-0.6554306213670728,0.0,1.862645149230957e-09,True,treatment_imbalance,NeuralRep
treated_fraction,0.1,pehe,neural_rep,x_learner,30,-0.044004315304043015,-0.04145454414505384,96.0,0.004031794145703316,True,treatment_imbalance,NeuralRep
treated_fraction,0.5,abs_ate_error,neural_rep,s_learner,30,-0.26614553060007407,-0.27309880017022214,0.0,1.862645149230957e-09,True,treatment_imbalance,NeuralRep
treated_fraction,0.5,abs_ate_error,neural_rep,t_learner,30,-0.024632845463531124,-0.02793008207013175,120.0,0.019660815596580505,True,treatment_imbalance,NeuralRep
treated_fraction,0.5,abs_ate_error,neural_rep,x_learner,30,0.036632225092037424,0.029925399585506544,68.0,0.0003800932317972183,True,treatment_imbalance,baseline
treated_fraction,0.25,abs_ate_error,neural_rep,s_learner,30,-0.2501707050771253,-0.25147323167022784,0.0,1.862645149230957e-09,True,treatment_imbalance,NeuralRep
treated_fraction,0.25,abs_ate_error,neural_rep,t_learner,30,0.024063050798101657,0.02596531679335535,162.0,0.15188691951334476,False,treatment_imbalance,baseline
treated_fraction,0.25,abs_ate_error,neural_rep,x_learner,30,0.0866908249676111,0.07791597186491026,16.0,3.1478703022003174e-07,True,treatment_imbalance,baseline
treated_fraction,0.1,abs_ate_error,neural_rep,s_learner,30,-0.3245354998685209,-0.33683015385451276,0.0,1.862645149230957e-09,True,treatment_imbalance,NeuralRep
treated_fraction,0.1,abs_ate_error,neural_rep,t_learner,30,-0.04076040532182405,-0.06525007438813565,152.0,0.10039735585451126,False,treatment_imbalance,NeuralRep
